SampleID	Profile	Batch	Soil	Time	Replicate	CollectionDate	Status	Freezer_Box	Yield1	Yield2	Yield
WUA_VD01	ViromeD	A	JepsonTop	0	1	11-29-2020	Dry	1	NA	NA	NA
WUA_VD02	ViromeD	A	JepsonTop	0	2	11-29-2020	Dry	1	NA	NA	NA
WUA_VD03	ViromeD	A	JepsonTop	0	3	11-29-2020	Dry	1	NA	NA	NA
WUA_VD04	ViromeD	A	JepsonBot	0	1	11-29-2020	Dry	1	NA	NA	NA
WUA_VD05	ViromeD	A	JepsonBot	0	2	11-29-2020	Dry	1	NA	NA	NA
WUA_VD06	ViromeD	A	JepsonBot	0	3	11-29-2020	Dry	1	NA	NA	NA
WUA_VD19	ViromeD	A	JepsonTop	24	1	11-30-2020	Wet	1	0.322	0.317	0.3195
WUA_VD20	ViromeD	A	JepsonTop	24	2	11-30-2020	Wet	1	0.361	0.369	0.365
WUA_VD21	ViromeD	A	JepsonTop	24	3	11-30-2020	Wet	1	0.392	0.394	0.393
WUA_VD22	ViromeD	A	JepsonBot	24	1	11-30-2020	Wet	1	0.112	0.11	0.111
WUA_VD23	ViromeD	A	JepsonBot	24	2	11-30-2020	Wet	1	0.108	0.106	0.107
WUA_VD24	ViromeD	A	JepsonBot	24	3	11-30-2020	Wet	1	0.116	0.119	0.1175
WUA_VD25	ViromeD	A	JepsonTop	48	1	12-01-2020	Wet	1	0.3	0.29	0.295
WUA_VD26	ViromeD	A	JepsonTop	48	2	12-01-2020	Wet	1	0.27	0.272	0.271
WUA_VD27	ViromeD	A	JepsonTop	48	3	12-01-2020	Wet	1	0.311	0.301	0.306
WUA_VD28	ViromeD	A	JepsonBot	48	1	12-01-2020	Wet	1	0.145	0.141	0.143
WUA_VD29	ViromeD	A	JepsonBot	48	2	12-01-2020	Wet	1	0.101	0.103	0.102
WUA_VD30	ViromeD	A	JepsonBot	48	3	12-01-2020	Wet	1	0.178	0.176	0.177
WUA_VD31	ViromeD	A	JepsonTop	72	1	12-02-2020	Wet	1	0.513	0.51	0.5115
WUA_VD32	ViromeD	A	JepsonTop	72	2	12-02-2020	Wet	1	0.373	0.374	0.3735
WUA_VD33	ViromeD	A	JepsonTop	72	3	12-02-2020	Wet	1	0.362	0.369	0.3655
WUA_VD34	ViromeD	A	JepsonBot	72	1	12-02-2020	Wet	1	0.206	0.209	0.2075
WUA_VD35	ViromeD	A	JepsonBot	72	2	12-02-2020	Wet	1	0.176	0.173	0.1745
WUA_VD36	ViromeD	A	JepsonBot	72	3	12-02-2020	Wet	1	0.215	0.219	0.217
WUA_VD37	ViromeD	A	JepsonTop	120	1	12-04-2020	Wet	2	0.487	0.507	0.497
WUA_VD38	ViromeD	A	JepsonTop	120	2	12-04-2020	Wet	2	0.437	0.436	0.4365
WUA_VD39	ViromeD	A	JepsonTop	120	3	12-04-2020	Wet	2	0.38	0.377	0.3785
WUA_VD40	ViromeD	A	JepsonBot	120	1	12-04-2020	Wet	2	0.215	0.216	0.2155
WUA_VD41	ViromeD	A	JepsonBot	120	2	12-04-2020	Wet	2	0.23	0.227	0.2285
WUA_VD42	ViromeD	A	JepsonBot	120	3	12-04-2020	Wet	2	0.222	0.223	0.2225
WUA_VD43	ViromeD	A	JepsonTop	168	1	12-06-2020	Wet	2	0.412	0.412	0.412
WUA_VD44	ViromeD	A	JepsonTop	168	2	12-06-2020	Wet	2	0.305	0.299	0.302
WUA_VD45	ViromeD	A	JepsonTop	168	3	12-06-2020	Wet	2	0.356	0.356	0.356
WUA_VD46	ViromeD	A	JepsonBot	168	1	12-06-2020	Wet	2	0.235	0.236	0.2355
WUA_VD47	ViromeD	A	JepsonBot	168	2	12-06-2020	Wet	2	0.151	0.149	0.15
WUA_VD48	ViromeD	A	JepsonBot	168	3	12-06-2020	Wet	2	0.191	0.193	0.192
WUA_VD49	ViromeD	A	JepsonTop	240	1	12-09-2020	Wet	2	0.497	0.505	0.501
WUA_VD50	ViromeD	A	JepsonTop	240	2	12-09-2020	Wet	2	0.583	0.581	0.582
WUA_VD51	ViromeD	A	JepsonTop	240	3	12-09-2020	Wet	2	0.42	0.431	0.4255
WUA_VD52	ViromeD	A	JepsonBot	240	1	12-09-2020	Wet	2	0.252	0.255	0.2535
WUA_VD53	ViromeD	A	JepsonBot	240	2	12-09-2020	Wet	2	0.261	0.261	0.261
WUA_VD54	ViromeD	A	JepsonBot	240	3	12-09-2020	Wet	2	0.284	0.282	0.283
WUA_VD55	ViromeD	A	JepsonTop	240	1	12-08-2020	Dry	2	NA	NA	NA
WUA_VD56	ViromeD	A	JepsonTop	240	2	12-08-2020	Dry	2	NA	NA	NA
