SampleID	Profile	Soil	Status	hrs_post_wetup	DNA_yield
WUA_VD01	+DNase Virome	Jepson Mound	Dry	0	0
WUA_VD02	+DNase Virome	Jepson Mound	Dry	0	0
WUA_VD03	+DNase Virome	Jepson Mound	Dry	0	0
WUA_VD04	+DNase Virome	Jepson Swale	Dry	0	0
WUA_VD05	+DNase Virome	Jepson Swale	Dry	0	0
WUA_VD06	+DNase Virome	Jepson Swale	Dry	0	0
WUA_VD19	+DNase Virome	Jepson Mound	Wet	24	0.3195
WUA_VD20	+DNase Virome	Jepson Mound	Wet	24	0.365
WUA_VD21	+DNase Virome	Jepson Mound	Wet	24	0.393
WUA_VD22	+DNase Virome	Jepson Swale	Wet	24	0.111
WUA_VD23	+DNase Virome	Jepson Swale	Wet	24	0.107
WUA_VD24	+DNase Virome	Jepson Swale	Wet	24	0.1175
WUA_VD25	+DNase Virome	Jepson Mound	Wet	48	0.295
WUA_VD26	+DNase Virome	Jepson Mound	Wet	48	0.271
WUA_VD27	+DNase Virome	Jepson Mound	Wet	48	0.306
WUA_VD28	+DNase Virome	Jepson Swale	Wet	48	0.143
WUA_VD29	+DNase Virome	Jepson Swale	Wet	48	0.102
WUA_VD30	+DNase Virome	Jepson Swale	Wet	48	0.177
WUA_VD31	+DNase Virome	Jepson Mound	Wet	72	0.5115
WUA_VD32	+DNase Virome	Jepson Mound	Wet	72	0.3735
WUA_VD33	+DNase Virome	Jepson Mound	Wet	72	0.3655
WUA_VD34	+DNase Virome	Jepson Swale	Wet	72	0.2075
WUA_VD35	+DNase Virome	Jepson Swale	Wet	72	0.1745
WUA_VD36	+DNase Virome	Jepson Swale	Wet	72	0.217
WUA_VD37	+DNase Virome	Jepson Mound	Wet	120	0.497
WUA_VD38	+DNase Virome	Jepson Mound	Wet	120	0.4365
WUA_VD39	+DNase Virome	Jepson Mound	Wet	120	0.3785
WUA_VD40	+DNase Virome	Jepson Swale	Wet	120	0.2155
WUA_VD41	+DNase Virome	Jepson Swale	Wet	120	0.2285
WUA_VD42	+DNase Virome	Jepson Swale	Wet	120	0.2225
WUA_VD43	+DNase Virome	Jepson Mound	Wet	168	0.412
WUA_VD44	+DNase Virome	Jepson Mound	Wet	168	0.302
WUA_VD45	+DNase Virome	Jepson Mound	Wet	168	0.356
WUA_VD46	+DNase Virome	Jepson Swale	Wet	168	0.2355
WUA_VD47	+DNase Virome	Jepson Swale	Wet	168	0.15
WUA_VD48	+DNase Virome	Jepson Swale	Wet	168	0.192
WUA_VD49	+DNase Virome	Jepson Mound	Wet	240	0.501
WUA_VD50	+DNase Virome	Jepson Mound	Wet	240	0.582
WUA_VD51	+DNase Virome	Jepson Mound	Wet	240	0.4255
WUA_VD52	+DNase Virome	Jepson Swale	Wet	240	0.2535
WUA_VD53	+DNase Virome	Jepson Swale	Wet	240	0.261
WUA_VD54	+DNase Virome	Jepson Swale	Wet	240	0.283
WUA_VD55	+DNase Virome	Jepson Mound	Dry	240	0
WUA_VD56	+DNase Virome	Jepson Mound	Dry	240	0
WUA_VD57	+DNase Virome	Jepson Mound	Dry	240	0
WUA_VD58	+DNase Virome	Jepson Swale	Dry	240	0
WUA_VD59	+DNase Virome	Jepson Swale	Dry	240	0
WUA_VD60	+DNase Virome	Jepson Swale	Dry	240	0
WUB_VD01	+DNase Virome	Hopland	Dry	0	0.139
WUB_VD02	+DNase Virome	Hopland	Dry	0	0.171
WUB_VD03	+DNase Virome	Hopland	Dry	0	0.1575
WUB_VD04	+DNase Virome	McLaughlin	Dry	0	0.1575
WUB_VD05	+DNase Virome	McLaughlin	Dry	0	0.1335
WUB_VD06	+DNase Virome	McLaughlin	Dry	0	0.098
WUB_VD07	+DNase Virome	Hopland	Wet	24	0.6305
WUB_VD08	+DNase Virome	Hopland	Wet	24	0.6115
WUB_VD09	+DNase Virome	Hopland	Wet	24	0.636
WUB_VD10	+DNase Virome	McLaughlin	Wet	24	0.6245
WUB_VD11	+DNase Virome	McLaughlin	Wet	24	0.706
WUB_VD12	+DNase Virome	McLaughlin	Wet	24	0.66
WUB_VD13	+DNase Virome	Hopland	Wet	48	0.6845
WUB_VD14	+DNase Virome	Hopland	Wet	48	0.6865
WUB_VD15	+DNase Virome	Hopland	Wet	48	0.605
WUB_VD16	+DNase Virome	McLaughlin	Wet	48	0.5405
WUB_VD17	+DNase Virome	McLaughlin	Wet	48	0.5665
WUB_VD18	+DNase Virome	McLaughlin	Wet	48	0.6705
WUB_VD19	+DNase Virome	Hopland	Wet	72	0.5185
WUB_VD20	+DNase Virome	Hopland	Wet	72	0.594
WUB_VD21	+DNase Virome	Hopland	Wet	72	0.6355
WUB_VD22	+DNase Virome	McLaughlin	Wet	72	0.5475
WUB_VD23	+DNase Virome	McLaughlin	Wet	72	0.5755
WUB_VD24	+DNase Virome	McLaughlin	Wet	72	0.4255
WUB_VD25	+DNase Virome	Hopland	Wet	120	0.584
WUB_VD26	+DNase Virome	Hopland	Wet	120	0.6745
WUB_VD27	+DNase Virome	Hopland	Wet	120	0.697
WUB_VD28	+DNase Virome	McLaughlin	Wet	120	0.5355
