MAG_ID	Soil	Cluster	Domain	Phylum	Class	Order	Family	Genus	Species
JB_10309	Jepson Swale	Wet-up responders	Bacteria	Acidobacteriota	Acidobacteriae	Bryobacterales	Bryobacteraceae	Unclassified	Unclassified
JB_4194	Jepson Swale	Wet-up responders	Bacteria	Bdellovibrionota	Bdellovibrionia_A	UBA1018	UBA1018	Unclassified	Unclassified
JB_5390	Jepson Swale	Wet-up responders	Bacteria	Myxococcota	Myxococcia	Myxococcales	40CM-4-68-19	40CM-4-68-19	Unclassified
JT_7153	Jepson Mound	Wet-up responders	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Koribacteraceae	Unclassified	Unclassified
ML_25868	Hopland	Wet-up responders	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	GWC2-71-9	JACDDX01	Unclassified
ML_8954	McLaughlin	Wet-up responders	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	GWC2-71-9	JACDDX01	Unclassified
JB_17052	Jepson Mound	Wet-up responders	Bacteria	Acidobacteriota	Acidobacteriae	Bryobacterales	Bryobacteraceae	BOG-234	Unclassified
HL_k29_8924	McLaughlin	Wet-up responders	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	SG8-41	PALSA-1004	Unclassified
JB_7392	Jepson Swale	Wet-up responders	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Paraburkholderia	Paraburkholderia graminis
ML_7232	Jepson Swale	Wet-up responders	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Paraburkholderia	Paraburkholderia graminis
JB_10151	Jepson Swale	Wet-up responders	Bacteria	Proteobacteria	Alphaproteobacteria	Micropepsales	Micropepsaceae	CAIYRG01	Unclassified
JT_7694	Jepson Mound	Wet-up responders	Bacteria	Actinobacteriota	Actinomycetia	Propionibacteriales	Nocardioidaceae	Nocardioides	Unclassified
JT_8596	Jepson Mound	Wet-up responders	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	SbA1	Unclassified	Unclassified
JB_17958	Jepson Swale	Wet-up responders	Bacteria	Actinobacteriota	Actinomycetia	Mycobacteriales	Frankiaceae	Unclassified	Unclassified
ML_9282	Hopland	Wet-up responders	Bacteria	Actinobacteriota	Acidimicrobiia	IMCC26256	IMCC26256	Chersky-806	Unclassified
JT_5476	Jepson Mound	Wet-up responders	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Casimicrobiaceae	VBCG01	Unclassified
JT_9836	Jepson Mound	Wet-up responders	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Pseudolabrys	Unclassified
JT_4586	Jepson Mound	Wet-up responders	Bacteria	Actinobacteriota	Actinomycetia	Mycobacteriales	Mycobacteriaceae	Mycobacterium	Unclassified
JB_10522	Jepson Mound	Wet-up responders	Bacteria	Actinobacteriota	Actinomycetia	Mycobacteriales	Mycobacteriaceae	Mycobacterium	Unclassified
