Set	Soil	r	slope	p.value
vOTUs in +DNase Virome	Jepson Mound	-0.865	-0.002	5.55e-47
vOTUs in Untreated Virome	Jepson Mound	-0.856	-0.002	5.18e-45
vOTUs in +DNase Virome	Jepson Swale	-0.855	-0.00213	6.21e-45
vOTUs in Untreated Virome	Jepson Swale	-0.882	-0.00219	4.48e-51
vOTUs in +DNase Virome	Hopland	-0.876	-0.00159	8.7e-50
vOTUs in +DNase Virome	McLaughlin	-0.808	-0.00188	1.86e-36
MAGs in Total MetaG	Jepson Mound	-0.51	-0.00022	1.74e-11
MAGs in Total MetaG	Jepson Swale	-0.528	-0.000202	2.3e-12
MAGs in Total MetaG	Hopland	-0.0501	-3.61e-05	0.538
MAGs in Total MetaG	McLaughlin	-0.425	-0.000199	4.47e-08
