SampleID	Profile	Batch	Soil	Time	Replicate	Status	TimeFctr	depth_raw_reads	depth_qual_reads	RarefactionFactor
WUA_TM01	TotalMG	A	JepsonTop	0	1	Dry	T0	148398286	104652932	0.937671789262436
WUA_TM02	TotalMG	A	JepsonTop	0	2	Dry	T0	150303316	108950876	0.900682083547451
WUA_TM03	TotalMG	A	JepsonTop	0	3	Dry	T0	147137482	101813166	0.963825267942262
WUA_TM04	TotalMG	A	JepsonBot	0	1	Dry	T0	148894878	105348216	0.931483282070956
WUA_TM05	TotalMG	A	JepsonBot	0	2	Dry	T0	160397206	118012454	0.831523272958971
WUA_TM06	TotalMG	A	JepsonBot	0	3	Dry	T0	157513468	114300020	0.858530925891352
WUA_TM19	TotalMG	A	JepsonTop	24	1	Wet	T1	153490520	111526878	0.879878498885264
WUA_TM20	TotalMG	A	JepsonTop	24	2	Wet	T1	152112068	107499594	0.912841605708762
WUA_TM21	TotalMG	A	JepsonTop	24	3	Wet	T1	147370678	106465540	0.921707643618771
WUA_TM22	TotalMG	A	JepsonBot	24	1	Wet	T1	145107786	101869540	0.963291892748313
WUA_TM23	TotalMG	A	JepsonBot	24	2	Wet	T1	152105316	111535934	0.879807058414018
WUA_TM24	TotalMG	A	JepsonBot	24	3	Wet	T1	149398328	109986010	0.892205308656983
WUA_TM25	TotalMG	A	JepsonTop	48	1	Wet	T2	151546626	110186362	0.890583010627032
WUA_TM26	TotalMG	A	JepsonTop	48	2	Wet	T2	149582400	109019334	0.90011650594013
WUA_TM27	TotalMG	A	JepsonTop	48	3	Wet	T2	147898032	105341438	0.93154321663997
WUA_TM28	TotalMG	A	JepsonBot	48	1	Wet	T2	151591434	105623668	0.92905410177575
WUA_TM29	TotalMG	A	JepsonBot	48	2	Wet	T2	143942542	99239610	0.988819907696131
WUA_TM30	TotalMG	A	JepsonBot	48	3	Wet	T2	142457878	99995818	0.981342059724938
WUA_TM31	TotalMG	A	JepsonTop	72	1	Wet	T3	143600774	101708428	0.964817802512885
WUA_TM32	TotalMG	A	JepsonTop	72	2	Wet	T3	146715476	101084334	0.970774581153198
WUA_TM33	TotalMG	A	JepsonTop	72	3	Wet	T3	155896838	114193716	0.859330140373048
WUA_TM34	TotalMG	A	JepsonBot	72	1	Wet	T3	146177874	105561752	0.929599027496247
WUA_TM35	TotalMG	A	JepsonBot	72	2	Wet	T3	147957770	106306030	0.92309064688052
WUA_TM36	TotalMG	A	JepsonBot	72	3	Wet	T3	149898158	108735022	0.902470061577768
WUA_TM37	TotalMG	A	JepsonTop	120	1	Wet	T4	147464034	102715026	0.955362674979998
WUA_TM38	TotalMG	A	JepsonTop	120	2	Wet	T4	145360548	100939740	0.972165194798401
WUA_TM39	TotalMG	A	JepsonTop	120	3	Wet	T4	148774558	109348616	0.89740598088594
WUA_TM40	TotalMG	A	JepsonBot	120	1	Wet	T4	150382322	109099902	0.899451788691799
WUA_TM41	TotalMG	A	JepsonBot	120	2	Wet	T4	144059096	104326886	0.94060223363707
WUA_TM42	TotalMG	A	JepsonBot	120	3	Wet	T4	148120374	108341422	0.905748698775617
WUA_TM43	TotalMG	A	JepsonTop	168	1	Wet	T5	148708134	108064628	0.908068660542652
WUA_TM44	TotalMG	A	JepsonTop	168	2	Wet	T5	149918554	105340976	0.931547302162835
WUA_TM45	TotalMG	A	JepsonTop	168	3	Wet	T5	148421482	104908360	0.93538877168607
WUA_TM46	TotalMG	A	JepsonBot	168	1	Wet	T5	146143998	103228752	0.950608237518942
WUA_TM47	TotalMG	A	JepsonBot	168	2	Wet	T5	145041256	102373238	0.95855229273885
WUA_TM48	TotalMG	A	JepsonBot	168	3	Wet	T5	147249712	105909554	0.926546267959924
WUA_TM49	TotalMG	A	JepsonTop	240	1	Wet	T6	146713666	104888284	0.935567808507574
WUA_TM50	TotalMG	A	JepsonTop	240	2	Wet	T6	150326030	107321290	0.914358204229561
WUA_TM51	TotalMG	A	JepsonTop	240	3	Wet	T6	146967058	103815898	0.94523193355222
WUA_TM52	TotalMG	A	JepsonBot	240	1	Wet	T6	142988514	98130102	1
WUA_TM53	TotalMG	A	JepsonBot	240	2	Wet	T6	145517568	103033428	0.952410338128321
WUA_TM54	TotalMG	A	JepsonBot	240	3	Wet	T6	144476268	100411602	0.97727852205764
WUA_VD19	ViromeD	A	JepsonTop	24	1	Wet	T1	65677456	46972240	0.926706284392654
WUA_VD20	ViromeD	A	JepsonTop	24	2	Wet	T1	73650688	49177282	0.885154043283645
WUA_VD21	ViromeD	A	JepsonTop	24	3	Wet	T1	68320862	47461188	0.917159300774351
WUA_VD22	ViromeD	A	JepsonBot	24	1	Wet	T1	79277110	54502214	0.798673426367597
WUA_VD23	ViromeD	A	JepsonBot	24	2	Wet	T1	66859454	47936602	0.908063320800252
WUA_VD24	ViromeD	A	JepsonBot	24	3	Wet	T1	71387980	49174926	0.885196451541178
WUA_VD25	ViromeD	A	JepsonTop	48	1	Wet	T2	69581250	46681662	0.932474726371139
WUA_VD26	ViromeD	A	JepsonTop	48	2	Wet	T2	66397866	49059602	0.887277275506638
WUA_VD27	ViromeD	A	JepsonTop	48	3	Wet	T2	66530652	48218082	0.902762370348949
WUA_VD28	ViromeD	A	JepsonBot	48	1	Wet	T2	78672308	55251842	0.787837444405926
WUA_VD29	ViromeD	A	JepsonBot	48	2	Wet	T2	65773044	47447224	0.917429226207207
WUA_VD30	ViromeD	A	JepsonBot	48	3	Wet	T2	66408626	48220458	0.902717887913881
WUA_VD31	ViromeD	A	JepsonTop	72	1	Wet	T3	65871984	48438944	0.898646138941427
WUA_VD32	ViromeD	A	JepsonTop	72	2	Wet	T3	67078878	48009064	0.906692744520076
WUA_VD33	ViromeD	A	JepsonTop	72	3	Wet	T3	67208272	48205730	0.902993689754309
WUA_VD34	ViromeD	A	JepsonBot	72	1	Wet	T3	69433826	48793848	0.892109800399427
WUA_VD35	ViromeD	A	JepsonBot	72	2	Wet	T3	63198036	46974830	0.926655189598344
WUA_VD36	ViromeD	A	JepsonBot	72	3	Wet	T3	64574740	48093316	0.905104360032068
WUA_VD37	ViromeD	A	JepsonTop	120	1	Wet	T4	65648338	46714610	0.931817048242509
WUA_VD38	ViromeD	A	JepsonTop	120	2	Wet	T4	65132600	48860302	0.890896458233107
WUA_VD39	ViromeD	A	JepsonTop	120	3	Wet	T4	67904504	51057210	0.852562644923215
WUA_VD40	ViromeD	A	JepsonBot	120	1	Wet	T4	66707916	47490146	0.916600045828455
WUA_VD41	ViromeD	A	JepsonBot	120	2	Wet	T4	64158936	47304812	0.920191163638913
WUA_VD42	ViromeD	A	JepsonBot	120	3	Wet	T4	64124824	46399828	0.938138606893112
WUA_VD43	ViromeD	A	JepsonTop	168	1	Wet	T5	67538372	48488894	0.8977204140808
WUA_VD44	ViromeD	A	JepsonTop	168	2	Wet	T5	65165638	49678752	0.876219072491998
WUA_VD45	ViromeD	A	JepsonTop	168	3	Wet	T5	68968678	46142638	0.943367607200958
WUA_VD46	ViromeD	A	JepsonBot	168	1	Wet	T5	108218470	78780522	0.552541020228325
WUA_VD47	ViromeD	A	JepsonBot	168	2	Wet	T5	69156444	48570100	0.896219484827085
WUA_VD48	ViromeD	A	JepsonBot	168	3	Wet	T5	67158082	47189392	0.92244184879517
WUA_VD49	ViromeD	A	JepsonTop	240	1	Wet	T6	72041880	49689622	0.876027392601216
WUA_VD50	ViromeD	A	JepsonTop	240	2	Wet	T6	68759816	49060394	0.887262951862963
WUA_VD51	ViromeD	A	JepsonTop	240	3	Wet	T6	64854468	47226602	0.921715053731793
WUA_VD52	ViromeD	A	JepsonBot	240	1	Wet	T6	66381018	45721728	0.952052162158001
WUA_VD53	ViromeD	A	JepsonBot	240	2	Wet	T6	65195514	45830868	0.949784978979669
WUA_VD54	ViromeD	A	JepsonBot	240	3	Wet	T6	64681054	44140900	0.986148220811085
WUA_VN01	ViromeN	A	JepsonTop	0	1	Dry	T0	99544402	74432106	0.584821152312955
WUA_VN02	ViromeN	A	JepsonTop	0	2	Dry	T0	83913346	61029318	0.713255062099825
WUA_VN03	ViromeN	A	JepsonTop	0	3	Dry	T0	97890568	70385474	0.6184439419986
WUA_VN04	ViromeN	A	JepsonBot	0	1	Dry	T0	55238666	35637514	1
WUA_VN05	ViromeN	A	JepsonBot	0	2	Dry	T0	98395804	70075498	0.621179602605179
WUA_VN06	ViromeN	A	JepsonBot	0	3	Dry	T0	99438432	69876792	0.622946027631034
WUA_VN19	ViromeN	A	JepsonTop	24	1	Wet	T1	64738358	44137590	0.986222174794772
WUA_VN20	ViromeN	A	JepsonTop	24	2	Wet	T1	106049680	79899142	0.544805224566742
WUA_VN21	ViromeN	A	JepsonTop	24	3	Wet	T1	102778602	74715694	0.582601427753585
WUA_VN22	ViromeN	A	JepsonBot	24	1	Wet	T1	70485852	47560462	0.915244893962552
WUA_VN23	ViromeN	A	JepsonBot	24	2	Wet	T1	134620528	99296656	0.438378005398289
WUA_VN24	ViromeN	A	JepsonBot	24	3	Wet	T1	99052566	72857238	0.597462533509711
WUA_VN25	ViromeN	A	JepsonTop	48	1	Wet	T2	199290356	152514880	0.28541129888441
WUA_VN26	ViromeN	A	JepsonTop	48	2	Wet	T2	92226260	67243774	0.647338294843475
WUA_VN27	ViromeN	A	JepsonTop	48	3	Wet	T2	86120756	62851638	0.692574949279763
WUA_VN28	ViromeN	A	JepsonBot	48	1	Wet	T2	67539528	47181502	0.922596105566966
WUA_VN29	ViromeN	A	JepsonBot	48	2	Wet	T2	81519558	58643686	0.742270361382127
WUA_VN30	ViromeN	A	JepsonBot	48	3	Wet	T2	160699470	119062268	0.365602560166248
WUA_VN31	ViromeN	A	JepsonTop	72	1	Wet	T3	115903566	84580300	0.514652584585299
WUA_VN32	ViromeN	A	JepsonTop	72	2	Wet	T3	175902208	135210168	0.321939323379881
WUA_VN33	ViromeN	A	JepsonTop	72	3	Wet	T3	224565262	175011444	0.248723563471655
WUA_VN34	ViromeN	A	JepsonBot	72	1	Wet	T3	80548142	59054694	0.73710431892171
WUA_VN35	ViromeN	A	JepsonBot	72	2	Wet	T3	163001444	126903884	0.343011329739916
WUA_VN36	ViromeN	A	JepsonBot	72	3	Wet	T3	147709496	111694544	0.389718856813633
WUA_VN37	ViromeN	A	JepsonTop	120	1	Wet	T4	105042508	75442986	0.576984983070527
WUA_VN38	ViromeN	A	JepsonTop	120	2	Wet	T4	198217202	155607104	0.279739606232888
WUA_VN39	ViromeN	A	JepsonTop	120	3	Wet	T4	83637586	56986356	0.763857755705594
WUA_VN40	ViromeN	A	JepsonBot	120	1	Wet	T4	77825496	52110646	0.83532777544151
WUA_VN41	ViromeN	A	JepsonBot	120	2	Wet	T4	107289570	80872034	0.538251208075217
WUA_VN42	ViromeN	A	JepsonBot	120	3	Wet	T4	146483632	107844378	0.403632259810521
WUA_VN43	ViromeN	A	JepsonTop	168	1	Wet	T5	71602160	49597290	0.877658234955982
WUA_VN44	ViromeN	A	JepsonTop	168	2	Wet	T5	111853322	80288736	0.542161605334028
WUA_VN45	ViromeN	A	JepsonTop	168	3	Wet	T5	207173416	162309788	0.268187584595946
WUA_VN46	ViromeN	A	JepsonBot	168	1	Wet	T5	116008534	84030804	0.51801801158537
WUA_VN47	ViromeN	A	JepsonBot	168	2	Wet	T5	121830804	88755114	0.49044464074487
WUA_VN48	ViromeN	A	JepsonBot	168	3	Wet	T5	163219944	123444202	0.352624661950506
WUA_VN49	ViromeN	A	JepsonTop	240	1	Wet	T6	91981146	67059718	0.649115017155306
WUA_VN50	ViromeN	A	JepsonTop	240	2	Wet	T6	102363526	74064074	0.58772718875821
WUA_VN51	ViromeN	A	JepsonTop	240	3	Wet	T6	70211240	48493412	0.897636775898549
WUA_VN52	ViromeN	A	JepsonBot	240	1	Wet	T6	93309128	71109172	0.612149864436616
WUA_VN53	ViromeN	A	JepsonBot	240	2	Wet	T6	67431548	47953492	0.907743486126099
WUA_VN54	ViromeN	A	JepsonBot	240	3	Wet	T6	62844408	43529470	1
WUA_VN55	ViromeN	A	JepsonTop	240	1	Dry	T6	70028136	48992238	0.888497275833776
WUA_VN56	ViromeN	A	JepsonTop	240	2	Dry	T6	87475868	62219648	0.699609711710359
WUA_VN57	ViromeN	A	JepsonTop	240	3	Dry	T6	84095166	56884858	0.765220684914077
WUA_VN58	ViromeN	A	JepsonBot	240	1	Dry	T6	68642942	47753508	0.91154496963867
WUA_VN59	ViromeN	A	JepsonBot	240	2	Dry	T6	76165084	52565520	0.828099293985868
WUA_VN60	ViromeN	A	JepsonBot	240	3	Dry	T6	71425920	48853358	0.89102308995832
WUB_TM01	TotalMG	B	Hopland	0	1	Dry	T0	127742552	136977544	0.716395542907383
WUB_TM02	TotalMG	B	Hopland	0	2	Dry	T0	131550088	134333214	0.730497686149309
WUB_TM03	TotalMG	B	Hopland	0	3	Dry	T0	145284048	136593404	0.718410253543429
WUB_TM04	TotalMG	B	McLaughlin	0	1	Dry	T0	141710256	149281576	0.657349048887319
WUB_TM05	TotalMG	B	McLaughlin	0	2	Dry	T0	146675984	133802046	0.733397619345821
WUB_TM06	TotalMG	B	McLaughlin	0	3	Dry	T0	134689640	182745592	0.53697657451568
WUB_TM07	TotalMG	B	Hopland	24	1	Wet	T1	119810536	131830158	0.744367627929263
WUB_TM08	TotalMG	B	Hopland	24	2	Wet	T1	135618840	135620428	0.723564314367154
WUB_TM09	TotalMG	B	Hopland	24	3	Wet	T1	127103600	140605924	0.697908731071672
WUB_TM10	TotalMG	B	McLaughlin	24	1	Wet	T1	128284952	136136200	0.720822984628629
WUB_TM11	TotalMG	B	McLaughlin	24	2	Wet	T1	140196728	153969398	0.637335102135036
WUB_TM12	TotalMG	B	McLaughlin	24	3	Wet	T1	157482616	127606196	0.769007345066536
WUB_TM13	TotalMG	B	Hopland	48	1	Wet	T2	154346840	113072008	0.867854951333313
WUB_TM14	TotalMG	B	Hopland	48	2	Wet	T2	137654944	157975504	0.621172900325104
WUB_TM15	TotalMG	B	Hopland	48	3	Wet	T2	178981744	118502538	0.8280843909014
WUB_TM16	TotalMG	B	McLaughlin	48	1	Wet	T2	151239600	121072170	0.810509153342176
WUB_TM17	TotalMG	B	McLaughlin	48	2	Wet	T2	126715000	138687082	0.707564832894819
WUB_TM18	TotalMG	B	McLaughlin	48	3	Wet	T2	117771624	143039544	0.686034779305504
WUB_TM19	TotalMG	B	Hopland	72	1	Wet	T3	145642168	140735622	0.697265557969396
WUB_TM20	TotalMG	B	Hopland	72	2	Wet	T3	131557120	184949918	0.530576618044243
WUB_TM21	TotalMG	B	Hopland	72	3	Wet	T3	155616616	121597570	0.807007097263539
WUB_TM22	TotalMG	B	McLaughlin	72	1	Wet	T3	129181248	134143244	0.731532197029617
