vOTU_ID	Soil	Cluster	ViralOrder	ViralFamily	ViralGenus	HostPhylum	HostClass	HostOrder	HostFamily	HostGenus	HostSpecies
WUB_VD34_contig_27662	McLaughlin	Dry-dominant	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
WUB_VN11_contig_14193	McLaughlin	Dry-dominant	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
WUB_VD05_contig_33183	McLaughlin	Dry-dominant	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
WUB_VD05_contig_45339	McLaughlin	Dry-dominant	Unclassified	Unclassified	Unclassified	Thermoplasmatota	Thermoplasmata	RBG-16-68-12	RBG-16-68-12	RBG-16-68-12	Unclassified
WUB_VD44_contig_5601	Hopland	Dry-dominant	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
WUB_VD20_contig_95477	Hopland	Dry-dominant	Unclassified	Unclassified	Unclassified	Actinobacteriota	Actinomycetia	Mycobacteriales	Mycobacteriaceae	Mycobacterium	Unclassified
WUB_VD45_contig_121273	Hopland	Dry-dominant	Unclassified	Unclassified	Unclassified	Actinobacteriota	Actinomycetia	Mycobacteriales	Mycobacteriaceae	Mycobacterium	Unclassified
WUB_VD43_contig_81977	Hopland	Dry-dominant	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
WUB_VD44_contig_32748	Hopland	Dry-dominant	Unclassified	Unclassified	Unclassified	Actinobacteriota	Actinomycetia	Mycobacteriales	Mycobacteriaceae	Mycobacterium	Unclassified
WUB_VD30_contig_117067	McLaughlin	Dry-dominant	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
