vOTU_ID	VIBRANT_quality	CheckV_completeness	contig_length	gene_count	predicted_temperate	ViralOrder	ViralFamily	ViralGenus	HostPhylum	HostClass	HostOrder	HostFamily	HostGenus	HostSpecies	number_of_soil_types_where_detected	detected_in_dry_soils	detected_in_wet_soils
WUA_TM19_contig_162337	circular	75.58	60127	92	TRUE	Unclassified	Unclassified	Unclassified	Actinobacteriota	Actinomycetia	Mycobacteriales	Mycobacteriaceae	Mycobacterium	Unclassified	1	FALSE	TRUE
WUA_TM20_contig_169626	high	55.81	12731	18	FALSE	Caudovirales	Podoviridae	Phi29virus	Firmicutes	Bacilli	Bacillales_B	DSM-18226	Neobacillus	Unclassified	1	FALSE	TRUE
WUA_VD19_contig_11430	high	96.36	38231	51	FALSE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD19_contig_17779	high	19.89	26132	27	FALSE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	2	FALSE	TRUE
WUA_VD19_contig_22144	circular	100	40461	61	FALSE	Unclassified	Unclassified	Unclassified	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Massilia	Unclassified	1	FALSE	TRUE
WUA_VD19_contig_35866	high	100	42229	51	FALSE	Caudovirales	Podoviridae	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD19_contig_36144	high	98.98	43399	53	FALSE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD19_contig_4313	high	94.66	129746	234	FALSE	Unclassified	Unclassified	Unclassified	Actinobacteriota	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Unclassified	1	FALSE	TRUE
WUA_VD19_contig_46164	high	96.48	48979	76	FALSE	Unclassified	Unclassified	Unclassified	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	Bradyrhizobium sp000015165	1	FALSE	TRUE
WUA_VD19_contig_50584	high	99.13	66776	93	FALSE	Unclassified	Unclassified	Unclassified	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Variovorax	Unclassified	2	FALSE	TRUE
WUA_VD19_contig_51816	circular	100	42183	59	FALSE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD19_contig_63880	high	84.57	40139	49	FALSE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	2	FALSE	TRUE
WUA_VD19_contig_6693	high	100	40767	59	FALSE	Unclassified	Unclassified	Unclassified	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD19_contig_73987	circular	100	73626	98	FALSE	Unclassified	Unclassified	Unclassified	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Variovorax	Unclassified	1	FALSE	TRUE
WUA_VD19_contig_74607	high	100	51381	83	FALSE	Caudovirales	Siphoviridae	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD19_contig_77001	high	100	40773	58	FALSE	Caudovirales	Podoviridae	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD19_contig_7766	high	100	45582	58	FALSE	Caudovirales	Podoviridae	Bpp1virus	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Hydrogenophaga	Hydrogenophaga intermedia	2	FALSE	TRUE
WUA_VD19_contig_8581	high	97.4	60003	87	FALSE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD19_contig_8882	high	74.64	55364	73	TRUE	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	2	FALSE	TRUE
WUA_VD19_contig_94224	circular	100	44562	70	FALSE	Unclassified	Unclassified	Unclassified	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Rhodopseudomonas	Rhodopseudomonas palustris_G	1	FALSE	TRUE
WUA_VD19_contig_96618	circular	62.57	39790	62	FALSE	Unclassified	Unclassified	Unclassified	Firmicutes	Bacilli	Paenibacillales	Paenibacillaceae	Unclassified	Unclassified	1	FALSE	TRUE
WUA_VD19_contig_96871	circular	100	42449	49	FALSE	Caudovirales	Podoviridae	Unclassified	Halobacteriota	Bog-38	Bog-38	Bog-38	Bog-38	Unclassified	1	FALSE	TRUE
